A1.1	input	content_draft	f
A1.1	input	strategy_document	t
A1.1	output	strategy_document	t
A1.2	input	content_draft	f
A1.2	input	strategy_document	t
A1.2	output	content_draft	t
A1.3	input	documentation	f
A1.3	input	strategy_document	t
A1.3	output	strategy_document	t
A1.5	input	strategy_document	t
A1.5	output	task_approval	t
A1.6	input	strategy_document	t
A1.6	output	strategy_document	t
A10.2	input	message_or_communication	t
A10.2	output	task_approval	t
A10.5	input	strategy_document	f
A10.5	output	schedule_event	t
A11.1	input	documentation	f
A11.1	input	strategy_document	t
A11.1	output	system_configuration	t
A11.2	input	credentials_access	t
A11.2	input	strategy_document	t
A11.2	output	system_configuration	t
A11.3	input	credentials_access	f
A11.3	input	strategy_document	t
A11.3	output	system_configuration	t
A12.2	input	documentation	t
A12.2	input	schedule_event	f
A12.2	output	documentation	t
A12.2	output	task_approval	t
A12.5	input	analytics_report	t
A12.5	input	strategy_document	f
A12.5	output	analytics_report	t
A12.6	input	analytics_report	t
A12.6	input	message_or_communication	f
A12.6	output	credentials_access	t
A12.7	input	contact_info	t
A12.7	output	system_configuration	t
A2.1	input	analytics_report	f
A2.1	input	strategy_document	t
A2.1	output	strategy_document	t
A2.2	input	strategy_document	t
A2.2	output	content_draft	t
A2.3	input	content_draft	t
A2.3	input	strategy_document	f
A2.3	output	content_draft	t
A2.4	input	content_draft	t
A2.4	input	strategy_document	f
A2.4	output	video_asset	t
A2.5	input	content_draft	t
A2.5	input	video_asset	t
A2.5	output	ad_creative	t
A2.6	input	content_draft	t
A2.6	input	strategy_document	f
A2.6	output	ad_creative	t
A2.7	input	contact_info	t
A2.7	input	content_draft	t
A2.7	output	schedule_event	t
A2.7	output	video_asset	t
A2.8	input	content_draft	t
A2.8	output	image_asset	t
A2.9	input	content_draft	t
A2.9	output	documentation	t
A3.1	input	analytics_report	t
A3.1	input	strategy_document	f
A3.1	output	decision	t
A3.1	output	system_configuration	t
A3.2	input	analytics_report	t
A3.2	input	decision	t
A3.2	output	system_configuration	t
A3.3	input	ad_creative	t
A3.3	input	credentials_access	f
A3.3	input	strategy_document	t
A3.3	output	system_configuration	t
A3.4	input	credentials_access	t
A3.4	input	strategy_document	f
A3.4	output	analytics_report	t
A3.6	input	strategy_document	f
A3.6	input	system_configuration	t
A3.6	output	documentation	t
A4.1	input	content_draft	t
A4.1	input	strategy_document	t
A4.1	input	video_asset	f
A4.1	output	ad_creative	t
A4.2	input	analytics_report	f
A4.2	input	strategy_document	t
A4.2	output	strategy_document	t
A4.4	input	analytics_report	f
A4.4	input	strategy_document	t
A4.4	output	strategy_document	t
A5.1	input	analytics_report	t
A5.1	output	contact_info	t
A5.2	input	documentation	t
A5.2	output	video_asset	t
A5.3	input	video_asset	t
A5.3	output	video_asset	t
A5.4	input	video_asset	t
A5.4	output	system_configuration	t
A5.5	input	analytics_report	t
A5.5	output	system_configuration	t
A6.1	input	content_draft	t
A6.1	input	credentials_access	t
A6.1	output	system_configuration	t
A6.3	input	audio_asset	t
A6.3	input	strategy_document	t
A6.3	output	system_configuration	t
A6.4	input	contact_info	t
A6.4	input	documentation	t
A6.4	output	documentation	t
A6.4	output	task_approval	t
A6.5	input	contact_info	t
A6.5	input	strategy_document	t
A6.5	output	schedule_event	t
A6.7	input	analytics_report	t
A6.7	input	strategy_document	f
A6.7	output	strategy_document	t
A7.1	input	content_draft	t
A7.1	input	strategy_document	t
A7.1	input	system_configuration	f
A7.1	output	system_configuration	t
A7.3	input	credentials_access	f
A7.3	input	strategy_document	t
A7.3	input	video_asset	t
A7.3	output	system_configuration	t
A7.4	input	content_draft	t
A7.4	input	system_configuration	f
A7.4	output	system_configuration	t
A7.6	input	strategy_document	t
A7.6	input	system_configuration	t
A7.6	output	system_configuration	t
A7.7	input	strategy_document	t
A7.7	output	content_draft	t
A7.8	input	strategy_document	t
A7.8	output	system_configuration	t
A8.1	input	analytics_report	t
A8.1	output	system_configuration	t
A8.2	input	analytics_report	t
A8.2	input	credentials_access	f
A8.2	output	analytics_report	t
A8.3	input	analytics_report	t
A8.3	input	documentation	f
A8.3	output	analytics_report	t
A8.4	input	analytics_report	t
A8.4	input	strategy_document	t
A8.4	output	analytics_report	t
A8.5	input	analytics_report	t
A8.5	input	documentation	t
A8.5	output	analytics_report	t
A9.1	input	documentation	f
A9.1	input	strategy_document	t
A9.1	output	strategy_document	t
A9.2	input	content_draft	f
A9.2	input	strategy_document	t
A9.2	output	strategy_document	t
A9.4	input	strategy_document	t
A9.4	output	content_draft	t
A9.5	input	content_draft	t
A9.5	input	credentials_access	t
A9.5	output	system_configuration	t
A9.6	input	strategy_document	f
A9.6	output	message_or_communication	t
A9.7	input	strategy_document	f
A9.7	output	system_configuration	t
